semana,casos,año,tipo
1,2.0,2022,Real
2,5.0,2022,Real
3,7.0,2022,Real
4,3.0,2022,Real
5,4.0,2022,Real
6,5.0,2022,Real
7,4.0,2022,Real
8,4.0,2022,Real
9,4.0,2022,Real
10,8.0,2022,Real
11,2.0,2022,Real
12,6.0,2022,Real
13,8.0,2022,Real
14,5.0,2022,Real
15,3.0,2022,Real
16,8.0,2022,Real
17,6.0,2022,Real
18,1.0,2022,Real
19,3.0,2022,Real
20,6.0,2022,Real
21,5.0,2022,Real
22,3.0,2022,Real
23,4.0,2022,Real
24,3.0,2022,Real
25,4.0,2022,Real
26,4.0,2022,Real
27,5.0,2022,Real
28,3.0,2022,Real
29,3.0,2022,Real
30,4.0,2022,Real
31,5.0,2022,Real
32,10.0,2022,Real
33,6.0,2022,Real
34,3.0,2022,Real
35,6.0,2022,Real
36,2.0,2022,Real
37,8.0,2022,Real
38,3.0,2022,Real
39,11.0,2022,Real
40,2.0,2022,Real
41,3.0,2022,Real
42,8.0,2022,Real
43,7.0,2022,Real
44,3.0,2022,Real
45,3.0,2022,Real
46,6.0,2022,Real
47,3.0,2022,Real
48,7.0,2022,Real
49,7.0,2022,Real
50,2.0,2022,Real
51,4.0,2022,Real
52,2.0,2022,Real
1,1.0,2023,Real
2,1.0,2023,Real
3,1.0,2023,Real
7,1.0,2023,Real
11,1.0,2023,Real
18,1.0,2023,Real
20,2.0,2023,Real
21,1.0,2023,Real
23,1.0,2023,Real
23,2.0,2023,Real
24,3.0,2023,Real
25,3.0,2023,Real
26,1.0,2023,Real
26,3.0,2023,Real
27,1.0,2023,Real
27,5.0,2023,Real
28,6.0,2023,Real
29,1.0,2023,Real
30,3.0,2023,Real
31,2.0,2023,Real
32,3.0,2023,Real
33,2.0,2023,Real
34,5.0,2023,Real
35,5.0,2023,Real
36,1.0,2023,Real
36,6.0,2023,Real
37,2.0,2023,Real
38,1.0,2023,Real
39,3.0,2023,Real
40,1.0,2023,Real
40,6.0,2023,Real
41,1.0,2023,Real
41,1.0,2023,Real
41,8.0,2023,Real
42,1.0,2023,Real
42,14.0,2023,Real
43,1.0,2023,Real
43,1.0,2023,Real
43,8.0,2023,Real
44,1.0,2023,Real
44,1.0,2023,Real
44,15.0,2023,Real
45,1.0,2023,Real
45,1.0,2023,Real
45,1.0,2023,Real
45,1.0,2023,Real
45,4.0,2023,Real
45,11.0,2023,Real
46,1.0,2023,Real
46,1.0,2023,Real
46,18.0,2023,Real
47,20.0,2023,Real
48,1.0,2023,Real
48,1.0,2023,Real
48,1.0,2023,Real
48,1.0,2023,Real
48,26.0,2023,Real
49,1.0,2023,Real
49,36.0,2023,Real
50,1.0,2023,Real
50,30.0,2023,Real
50,1.0,2023,Real
51,2.0,2023,Real
51,1.0,2023,Real
51,39.0,2023,Real
51,1.0,2023,Real
51,1.0,2023,Real
52,1.0,2023,Real
52,1.0,2023,Real
52,1.0,2023,Real
52,1.0,2023,Real
52,43.0,2023,Real
1,1.0,2024,Real
1,1.0,2024,Real
1,1.0,2024,Real
1,43.0,2024,Real
2,1.0,2024,Real
2,1.0,2024,Real
2,1.0,2024,Real
2,1.0,2024,Real
2,32.0,2024,Real
3,1.0,2024,Real
3,1.0,2024,Real
3,37.0,2024,Real
4,3.0,2024,Real
4,1.0,2024,Real
4,2.0,2024,Real
4,58.0,2024,Real
4,1.0,2024,Real
5,2.0,2024,Real
5,1.0,2024,Real
5,1.0,2024,Real
5,1.0,2024,Real
5,1.0,2024,Real
5,1.0,2024,Real
5,2.0,2024,Real
5,1.0,2024,Real
5,44.0,2024,Real
5,1.0,2024,Real
6,1.0,2024,Real
6,1.0,2024,Real
6,3.0,2024,Real
6,1.0,2024,Real
6,1.0,2024,Real
6,1.0,2024,Real
6,4.0,2024,Real
6,1.0,2024,Real
6,2.0,2024,Real
6,2.0,2024,Real
6,44.0,2024,Real
7,1.0,2024,Real
7,1.0,2024,Real
7,1.0,2024,Real
7,1.0,2024,Real
7,1.0,2024,Real
7,3.0,2024,Real
7,2.0,2024,Real
7,67.0,2024,Real
8,1.0,2024,Real
8,2.0,2024,Real
8,3.0,2024,Real
8,1.0,2024,Real
8,2.0,2024,Real
8,1.0,2024,Real
8,2.0,2024,Real
8,62.0,2024,Real
9,2.0,2024,Real
9,1.0,2024,Real
9,1.0,2024,Real
9,1.0,2024,Real
9,3.0,2024,Real
9,65.0,2024,Real
9,1.0,2024,Real
10,4.0,2024,Real
10,1.0,2024,Real
10,74.0,2024,Real
11,3.0,2024,Real
11,2.0,2024,Real
11,68.0,2024,Real
12,2.0,2024,Real
12,1.0,2024,Real
12,1.0,2024,Real
12,1.0,2024,Real
12,1.0,2024,Real
12,1.0,2024,Real
12,3.0,2024,Real
12,1.0,2024,Real
12,77.0,2024,Real
13,2.0,2024,Real
13,1.0,2024,Real
13,1.0,2024,Real
13,1.0,2024,Real
13,1.0,2024,Real
13,1.0,2024,Real
13,2.0,2024,Real
13,1.0,2024,Real
13,66.0,2024,Real
13,1.0,2024,Real
14,1.0,2024,Real
14,1.0,2024,Real
14,1.0,2024,Real
14,1.0,2024,Real
14,1.0,2024,Real
14,1.0,2024,Real
14,96.0,2024,Real
15,1.0,2024,Real
15,1.0,2024,Real
15,1.0,2024,Real
15,2.0,2024,Real
15,1.0,2024,Real
15,1.0,2024,Real
15,113.0,2024,Real
15,1.0,2024,Real
16,2.0,2024,Real
16,1.0,2024,Real
16,3.0,2024,Real
16,1.0,2024,Real
16,1.0,2024,Real
16,133.0,2024,Real
17,2.0,2024,Real
17,4.0,2024,Real
17,1.0,2024,Real
17,2.0,2024,Real
17,130.0,2024,Real
17,1.0,2024,Real
18,2.0,2024,Real
18,1.0,2024,Real
18,1.0,2024,Real
18,123.0,2024,Real
18,1.0,2024,Real
19,1.0,2024,Real
19,1.0,2024,Real
19,1.0,2024,Real
19,1.0,2024,Real
19,1.0,2024,Real
19,96.0,2024,Real
20,1.0,2024,Real
20,1.0,2024,Real
20,1.0,2024,Real
20,1.0,2024,Real
20,2.0,2024,Real
20,1.0,2024,Real
20,98.0,2024,Real
20,1.0,2024,Real
21,3.0,2024,Real
21,2.0,2024,Real
21,1.0,2024,Real
21,1.0,2024,Real
21,2.0,2024,Real
21,1.0,2024,Real
21,1.0,2024,Real
21,124.0,2024,Real
22,2.0,2024,Real
22,1.0,2024,Real
22,1.0,2024,Real
22,1.0,2024,Real
22,1.0,2024,Real
22,1.0,2024,Real
22,2.0,2024,Real
22,2.0,2024,Real
22,2.0,2024,Real
22,92.0,2024,Real
22,1.0,2024,Real
23,2.0,2024,Real
23,1.0,2024,Real
23,1.0,2024,Real
23,1.0,2024,Real
23,1.0,2024,Real
23,1.0,2024,Real
23,95.0,2024,Real
23,1.0,2024,Real
24,3.0,2024,Real
24,4.0,2024,Real
24,1.0,2024,Real
24,1.0,2024,Real
24,1.0,2024,Real
24,1.0,2024,Real
24,1.0,2024,Real
24,1.0,2024,Real
24,87.0,2024,Real
25,1.0,2024,Real
25,1.0,2024,Real
25,1.0,2024,Real
25,78.0,2024,Real
26,1.0,2024,Real
26,1.0,2024,Real
26,4.0,2024,Real
26,2.0,2024,Real
26,66.0,2024,Real
26,1.0,2024,Real
27,3.0,2024,Real
27,2.0,2024,Real
27,1.0,2024,Real
27,1.0,2024,Real
27,1.0,2024,Real
27,2.0,2024,Real
27,2.0,2024,Real
27,51.0,2024,Real
28,1.0,2024,Real
28,1.0,2024,Real
28,1.0,2024,Real
28,1.0,2024,Real
28,1.0,2024,Real
28,55.0,2024,Real
28,1.0,2024,Real
29,3.0,2024,Real
29,2.0,2024,Real
29,1.0,2024,Real
